,instance,IKS,theta1,theta2,theta3,theta4,theta5,theta6
2536,635.0,1.0,-0.3092284997286538,-2.8460162166441645,0.9716654772966022,-2.787988473333506,2.5363581581283685,2.5644911176446397
2537,635.0,2.0,2.9330656044172723,-0.3085802701116038,2.1992499560727055,0.30768897535022544,2.60044955382924,2.6641799853315655
2538,635.0,3.0,,,,,,
2539,635.0,4.0,,,,,,
2540,636.0,1.0,-0.3079591678854202,-2.843757034042632,0.9684377776611108,-2.788738954351925,2.543228190242401,2.5619997007012945
2541,636.0,2.0,2.9338992892330005,-0.3106294503200938,2.2023969469194262,0.3070473371433978,2.6068902409954786,2.661551370387543
2542,636.0,3.0,,,,,,
2543,636.0,4.0,,,,,,
2544,637.0,1.0,-0.30669652673797104,-2.8415236244649877,0.965216488961446,-2.789448011035583,2.5500539996350855,2.5594963612012593
2545,637.0,2.0,2.9347294543715057,-0.31265553229443904,2.2055379296347466,0.30644497392248493,2.6132919062370643,2.6589101555370602
2546,637.0,3.0,,,,,,
2547,637.0,4.0,,,,,,
2548,638.0,1.0,-0.30544047598493956,-2.839315753530614,0.9620016984242321,-2.790115288326234,2.5568358435804295,2.556980458439174
2549,638.0,2.0,2.9355561675024515,-0.3146587144638257,2.2086727909191874,0.30588236589797757,2.6196547044774574,2.6562556699661903
2550,638.0,3.0,,,,,,
2551,638.0,4.0,,,,,,
2552,639.0,1.0,-0.30419091387324027,-2.837133188470878,0.9587934962330674,-2.7907404116132803,2.5635739712206447,2.5544513439845105
2553,639.0,2.0,2.936379498072471,-0.3166391939784071,2.2118014135656687,0.3053600150424679,2.625978782460505,2.653587231443762
2554,639.0,3.0,,,,,,
2555,639.0,4.0,,,,,,
2556,640.0,1.0,-0.3029477371680375,-2.834975698125915,0.9555919756086763,-2.7913229863825775,2.5702686235249326,2.5519083612362734
2557,640.0,2.0,2.9371995173521506,-0.31859716672351907,2.2149236763495246,0.30487844560867233,2.6322642786650285,2.6509041458046068
2558,640.0,3.0,,,,,,
2559,640.0,4.0,,,,,,
2560,641.0,1.0,-0.3017108411187388,-2.832843052939486,0.9523972328895881,-2.7918625978527003,2.5769200332483084,2.5493508449734352
2561,641.0,2.0,2.9380162984871343,-0.32053282733520044,2.218039453916738,0.3044382046634862,2.638511323217803,2.6482057064247067
2562,641.0,3.0,,,,,,
2563,641.0,4.0,,,,,,
2564,642.0,1.0,-0.3004801194209373,-2.8307350249519083,0.9492093676132909,-2.792358810598904,2.583528424890645,2.5467781209007225
2565,642.0,2.0,2.9388299165534923,-0.32244636921710446,2.2211486166704946,0.3040398626376661,2.6447200378052362,2.6454911936878416
2566,642.0,3.0,,,,,,
2567,642.0,4.0,,,,,,
2568,643.0,1.0,-0.2992554641743162,-2.8286513877911883,0.946028482597824,-2.792811168164535,2.5900940146558398,2.544189505189899
2569,643.0,2.0,2.9396404486174106,-0.32433798455868895,2.224251030656121,0.3036840138914084,2.6508905355837293,2.642759874444114
2570,643.0,3.0,,,,,,
2571,643.0,4.0,,,,,,
2572,644.0,1.0,-0.2980367658364372,-2.8265919166623714,0.9428546840237407,-2.79321919266013,2.5966170104112813,2.541584304016252
2573,644.0,2.0,2.9404479737993485,-0.3262078643547522,2.227346557444534,0.3033712772953968,2.657022921089033,2.6400110014601172
2574,644.0,3.0,,,,,,
2575,644.0,4.0,,,,,,
2576,645.0,1.0,-0.29682391317239426,-2.8245563883352065,0.9396880815163791,-2.793582384350097,2.603097611647623,2.5389618130903804
2577,645.0,2.0,2.941252573342747,-0.3280561984262422,2.2304350540143125,0.3031022968273508,2.663117290144699,2.6372438128610933
